Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-dvmd.kdl.r4.json	6874	-	0	0	0	0	0	0	13	50	0	0	0	0	0	0	0	0	0	0	85	71	0	0	0	4	0	1
fsh-generated/resources/CodeSystem-kdl.json	203458	28	0	0	2	0	0	0	30	178	0	0	1	0	0	0	0	3	0	0	491	651	0	0	0	31	0	2
fsh-generated/resources/ConceptMap-kdl-ihe-classcode.json	135336	25	0	0	0	0	0	0	17	342	0	0	0	0	0	0	0	1	0	0	291	289	0	0	0	9	0	1
fsh-generated/resources/ConceptMap-kdl-ihe-typecode.json	137891	18	0	0	0	0	0	0	16	35	0	0	0	0	0	0	0	0	0	0	258	285	0	0	0	9	0	0
fsh-generated/resources/DocumentReference-kdl-dokref-ex-1.json	740	2	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	7	14	0	0	0	0	0	1
fsh-generated/resources/DocumentReference-kdl-dokref-ex-2.json	1338	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0
fsh-generated/resources/ValueSet-kdl-all.json	1739	1	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	10	156	0	0	0	0	0	0
fsh-generated/resources/ValueSet-kdl.json	74373	15	0	0	0	0	0	0	9	94	0	0	0	0	0	0	0	0	0	0	393	453	0	1	0	14	0	0
/fsh-generated/includes/menu.xml	1135	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	326	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	4252	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/Aenderungen-zur-Vorversion.md	1338	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/CodeSystem-kdl-cs-2025-intro.md	2125	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/DMI_Logo.png	2739	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/GefyralogosoloM_Claim_sehrklein.jpg	683825	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/images/DVMD-logo.png	9598	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	7928	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
